No.,User Name,Time,Device Name,Card Number,Event Type,
1, 	, 2024-12-07 00:33:06, Access Actuator2_FM1	, , Door opened by button
2, Aouissa Hadjer	, 2024-12-08 13:07:51, Access Actuator1_FM1	, *****1688, Valid card swiping
3, 	, 2024-12-08 13:07:51, Access Actuator1_FM1	, , Door opened normally
4, 	, 2024-12-08 13:08:35, Access Actuator2_FM1	, , Door opened by button
5, 	, 2024-12-08 13:17:15, Access Actuator1_FM1	, , Door closed
6, test03	, 2024-12-08 13:36:07, Access Actuator1_FM1	, *****1326, Valid card swiping
7, 	, 2024-12-08 13:36:07, Access Actuator1_FM1	, , Door opened normally
8, test03	, 2024-12-09 06:49:00, Access Actuator2_FM1	, *****1326, Valid card swiping
9, 	, 2024-12-09 06:49:00, Access Actuator2_FM1	, , Door opened normally
10, 	, 2024-12-09 06:50:02, Access Actuator2_FM1	, , Door opened by button
11, samir	, 2024-12-09 13:06:06, Access Actuator2_FM1	, *****8634, Valid card swiping
12, 	, 2024-12-09 13:06:06, Access Actuator2_FM1	, , Door opened normally
13, test03	, 2024-12-09 16:37:33, Access Actuator2_FM1	, *****1326, Valid card swiping
14, 	, 2024-12-09 16:37:33, Access Actuator2_FM1	, , Door opened normally
15, 	, 2024-12-09 16:38:39, Access Actuator2_FM1	, , Door opened by button
16, Ousmer Sabrine	, 2024-12-10 09:40:09, Access Actuator1_FM1	, *****2547, Valid card swiping
17, 	, 2024-12-10 09:40:09, Access Actuator1_FM1	, , Door opened normally
18, 	, 2024-12-10 11:13:52, Access Actuator2_FM1	, , Door opened by button
19, 	, 2024-12-10 11:18:43, Access Actuator1_FM1	, , Door closed
20, 	, 2024-12-10 11:22:20, Access Actuator1_FM1	, , Door opened by button
21, samir	, 2024-12-10 13:49:41, Access Actuator2_FM1	, *****8634, Valid card swiping
22, 	, 2024-12-10 13:49:41, Access Actuator2_FM1	, , Door opened normally
23, test03	, 2024-12-11 00:01:17, Access Actuator2_FM1	, *****1326, Valid card swiping
24, 	, 2024-12-11 00:01:17, Access Actuator2_FM1	, , Door opened normally
25, 	, 2024-12-11 00:02:15, Access Actuator2_FM1	, , Door opened by button
26, test03	, 2024-12-11 13:52:07, Access Actuator2_FM1	, *****1326, Valid card swiping
27, 	, 2024-12-11 13:52:07, Access Actuator2_FM1	, , Door opened normally
28, 	, 2024-12-11 13:52:27, Access Actuator2_FM1	, , Door opened by button
29, Ousmer Sabrine	, 2024-12-11 14:08:12, Access Actuator1_FM1	, *****2547, Valid card swiping
30, 	, 2024-12-11 14:08:12, Access Actuator1_FM1	, , Door opened normally
31, 	, 2024-12-11 14:12:45, Access Actuator2_FM1	, , Door opened by button
32, 	, 2024-12-11 14:21:20, Access Actuator1_FM1	, , Door closed
33, Operateur_02	, 2024-12-11 19:00:57, Access Actuator1_FM1	, *****6629, Valid card swiping
34, 	, 2024-12-11 19:00:57, Access Actuator1_FM1	, , Door opened normally
35, test03	, 2024-12-13 06:38:00, Access Actuator1_FM1	, *****1326, Valid card swiping
36, 	, 2024-12-13 06:38:00, Access Actuator1_FM1	, , Door opened normally
37, 	, 2024-12-13 06:38:57, Access Actuator1_FM1	, , Door opened by button
38, test03	, 2024-12-13 06:40:00, Access Actuator2_FM1	, *****1326, Valid card swiping
39, 	, 2024-12-13 06:40:00, Access Actuator2_FM1	, , Door opened normally
40, 	, 2024-12-13 06:40:20, Access Actuator1_FM1	, , Door opened by button
41, test03	, 2024-12-13 10:41:32, Access Actuator1_FM1	, *****1326, Valid card swiping
42, 	, 2024-12-13 10:41:32, Access Actuator1_FM1	, , Door opened normally
43, 	, 2024-12-13 10:42:18, Access Actuator2_FM1	, , Door opened by button
44, test03	, 2024-12-13 11:04:22, Access Actuator1_FM1	, *****1326, Valid card swiping
45, 	, 2024-12-13 11:04:22, Access Actuator1_FM1	, , Door opened normally
46, 	, 2024-12-13 11:04:49, Access Actuator1_FM1	, , Door opened by button
47, test03	, 2024-12-14 23:13:06, Access Actuator2_FM1	, *****1326, Valid card swiping
48, 	, 2024-12-14 23:13:06, Access Actuator2_FM1	, , Door opened normally
49, 	, 2024-12-14 23:13:56, Access Actuator2_FM1	, , Door opened by button
50, test06	, 2024-12-15 09:30:05, Access Actuator2_FM1	, *****0419, Valid card swiping
51, 	, 2024-12-15 09:30:05, Access Actuator2_FM1	, , Door opened normally
52, test03	, 2024-12-17 06:37:40, Access Actuator2_FM1	, *****1326, Valid card swiping
53, 	, 2024-12-17 06:37:40, Access Actuator2_FM1	, , Door opened normally
54, 	, 2024-12-17 06:38:48, Access Actuator2_FM1	, , Door opened by button
55, test03	, 2024-12-18 23:54:31, Access Actuator2_FM1	, *****1326, Valid card swiping
56, 	, 2024-12-18 23:54:31, Access Actuator2_FM1	, , Door opened normally
57, 	, 2024-12-18 23:55:35, Access Actuator2_FM1	, , Door opened by button
58, test03	, 2024-12-21 06:48:13, Access Actuator2_FM1	, *****1326, Valid card swiping
59, 	, 2024-12-21 06:48:13, Access Actuator2_FM1	, , Door opened normally
60, 	, 2024-12-21 06:49:12, Access Actuator2_FM1	, , Door opened by button
61, test03	, 2024-12-21 12:50:17, Access Actuator1_FM1	, *****1326, Valid card swiping
62, 	, 2024-12-21 12:50:17, Access Actuator1_FM1	, , Door opened normally
63, 	, 2024-12-21 12:50:40, Access Actuator2_FM1	, , Door opened by button
64, test06	, 2024-12-22 08:16:23, Access Actuator2_FM1	, *****0419, Valid card swiping
65, 	, 2024-12-22 08:16:23, Access Actuator2_FM1	, , Door opened normally
66, 	, 2024-12-22 08:18:53, Access Actuator2_FM1	, , Door opened by button
67, test03	, 2024-12-22 11:45:54, Access Actuator2_FM1	, *****1326, Valid card swiping
68, 	, 2024-12-22 11:45:54, Access Actuator2_FM1	, , Door opened normally
69, samir	, 2024-12-23 11:02:06, Access Actuator2_FM1	, *****8634, Valid card swiping
70, 	, 2024-12-23 11:02:06, Access Actuator2_FM1	, , Door opened normally
71, Aouissa Hadjer	, 2024-12-24 08:34:05, Access Actuator1_FM1	, *****1688, Valid card swiping
72, 	, 2024-12-24 08:34:05, Access Actuator1_FM1	, , Door opened normally
73, 	, 2024-12-24 08:38:35, Access Actuator1_FM1	, , Door closed
74, test06	, 2024-12-24 08:47:03, Access Actuator2_FM1	, *****0419, Valid card swiping
75, 	, 2024-12-24 08:47:03, Access Actuator2_FM1	, , Door opened normally
76, Aouissa Hadjer	, 2024-12-24 10:18:44, Access Actuator1_FM1	, *****1688, Valid card swiping
77, 	, 2024-12-24 10:18:44, Access Actuator1_FM1	, , Door opened normally
78, 	, 2024-12-24 10:19:39, Access Actuator1_FM1	, , Door closed
79, samir	, 2024-12-24 10:21:37, Access Actuator1_FM1	, *****8634, Valid card swiping
80, 	, 2024-12-24 10:21:37, Access Actuator1_FM1	, , Door opened normally
81, samir	, 2024-12-24 11:42:27, Access Actuator2_FM1	, *****8634, Valid card swiping
82, 	, 2024-12-24 11:42:27, Access Actuator2_FM1	, , Door opened normally
83, test06	, 2024-12-26 08:43:02, Access Actuator1_FM1	, *****0419, Valid card swiping
84, 	, 2024-12-26 08:43:02, Access Actuator1_FM1	, , Door opened normally
85, test06	, 2024-12-29 08:26:56, Access Actuator2_FM1	, *****0419, Valid card swiping
86, 	, 2024-12-29 08:26:56, Access Actuator2_FM1	, , Door opened normally
87, test06	, 2024-12-29 08:58:13, Access Actuator2_FM1	, *****0419, Valid card swiping
88, 	, 2024-12-29 08:58:13, Access Actuator2_FM1	, , Door opened normally
89, samir	, 2024-12-30 10:19:01, Access Actuator2_FM1	, *****8634, Valid card swiping
90, 	, 2024-12-30 10:19:01, Access Actuator2_FM1	, , Door opened normally
91, 	, 2024-12-30 10:20:36, Access Actuator2_FM1	, , Door opened by button
