Equipment,Equipment ID,Performance Data,Statistical Period,Statistical Start Time,Value,Unit,
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Year, 2022-01-01 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Year, 2022-01-01 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Year, 2022-01-01 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Year, 2022-01-01 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Year, 2022-01-01 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Year, 2022-01-01 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Year, 2023-01-01 00:00:00,"	1370130.00","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Year, 2023-01-01 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Year, 2023-01-01 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Year, 2023-01-01 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Year, 2023-01-01 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Year, 2023-01-01 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Year, 2023-01-01 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Year, 2024-01-01 00:00:00,"	8130884.00","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Year, 2024-01-01 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Year, 2024-01-01 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Year, 2024-01-01 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Year, 2024-01-01 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Year, 2024-01-01 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Year, 2024-01-01 00:00:00,"	No Data","	%RH"
